0.	0. 0.2 0.4 0.6 0.8 1.
0.199465 1.61882 1.80718 1.84615 1.99767 2.20739 2.47234 
0.398902 3.42136 3.87703 3.65811 3.65936 3.1889 2.35564 
0.548613 6.23446 6.05172 6.06706 5.60291 5.09491 4.0714 
0.797748 8.91659 9.27316 8.73716 7.72951 6.31916 5.00466 
0.997461 10.9186 10.4909 8.95198 8.14713 6.54432 4.97028 
1.29636 11.7581 10.9322 7.80096 7.85584 6.25279 4.79964 
1.69538 11.371 9.84206 7.8606 7.35854 5.89358 4.46881 
2.9687 7.35358 6.30372 5.26418 4.27005 3.23171 2.33663 
3.67 5.60272 4.70044 3.99701 3.26934 2.49448 1.66805 
4.49848 4.11148 3.61928 3.20137 2.60504 1.76576 1.2073 
5.78317 2.99157 2.78978 2.37037 2.11907 1.62589 1.15508 
6.67984 2.67485 2.30559 2.28084 2.19936 1.65827 1.54698 
7.97748 2.09025 2.21957 2.40346 2.53575 2.54636 2.27629 
8.97772 1.9629 2.30043 2.61662 3.11794 2.93062 2.63729 
11.9665 2.12862 2.91468 3.44304 3.57106 3.2684 2.77506 
14.975 2.84904 3.25803 3.66477 3.58129 3.34259 3.02419 
19.9235 3.10956 3.36919 3.83907 4.04787 3.78901 3.39319 
24.9096 3.05984 3.73383 4.33202 4.52209 4.55888 4.26922 
29.9479 3.67028 4.19484 4.99433 5.74027 5.65344 5.15951 
39.9361 4.52583 5.87822 7.50822 8.19595 7.80743 7.48431 
59.8916 8.20916 10.0599 13.2355 15.3732 15.5564 14.807 
69.8821 9.50821 12.9858 17.0245 19.8261 19.711 18.9849 
74.7078 10.6979 14.4695 18.9325 21.7251 21.8029 20.6261 
89.8185 14.0734 18.8681 23.9517 27.3872 26.6318 23.7874 
109.74 18.2473 23.2756 28.3457 30.0082 26.1176 22.6051 
139.755 22.6047 26.0594 26.8984 25.9148 23.2869 19.0833 
169.577 23.8012 22.8204 23.5005 21.3507 17.9616 15.1566 
249.096 17.7153 14.5438 13.3203 10.4816 8.26021 6.61773 
349.435 10.4496 7.03673 5.63111 4.01005 2.88007 2.1032 
498.157 4.21113 2.38918 1.66025 1.16256 0.971362 0.929841 
847.942 0.645652 0.584595 0.598707 1.36251 0.956932 0.697604 
